key,value,timestamp,topic,partition,offset
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95886.3, ""volume"": 0.04949998, ""timestamp"": ""2024-12-06T17:52:04.649364Z"", ""timestamp_ms"": 1733503924649}",1733507524720,trades,0,39375
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95886.3, ""volume"": 0.00350002, ""timestamp"": ""2024-12-06T17:52:04.859241Z"", ""timestamp_ms"": 1733503924859}",1733507524941,trades,0,39376
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.85, ""volume"": 0.00031, ""timestamp"": ""2024-12-06T17:52:05.450148Z"", ""timestamp_ms"": 1733503925450}",1733507525581,trades,0,39377
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.86, ""volume"": 1.99147269, ""timestamp"": ""2024-12-06T17:52:05.664070Z"", ""timestamp_ms"": 1733503925664}",1733507525812,trades,0,39378
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.86, ""volume"": 0.04955586, ""timestamp"": ""2024-12-06T17:52:06.480064Z"", ""timestamp_ms"": 1733503926480}",1733507526697,trades,0,39379
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.86, ""volume"": 0.00228738, ""timestamp"": ""2024-12-06T17:52:06.574776Z"", ""timestamp_ms"": 1733503926574}",1733507526800,trades,0,39380
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95850.1, ""volume"": 0.006, ""timestamp"": ""2024-12-06T17:52:08.109423Z"", ""timestamp_ms"": 1733503928109}",1733507528491,trades,0,39381
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95850.1, ""volume"": 0.00417464, ""timestamp"": ""2024-12-06T17:52:08.109423Z"", ""timestamp_ms"": 1733503928109}",1733507528492,trades,0,39382
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.85, ""volume"": 0.06677488, ""timestamp"": ""2024-12-06T17:52:08.587013Z"", ""timestamp_ms"": 1733503928587}",1733507529049,trades,0,39383
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95850.0, ""volume"": 0.03139553, ""timestamp"": ""2024-12-06T17:52:08.657868Z"", ""timestamp_ms"": 1733503928657}",1733507529086,trades,0,39384
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101164.8, ""volume"": 0.09949328, ""timestamp"": ""2024-12-06T17:52:08.713862Z"", ""timestamp_ms"": 1733503928713}",1733507529153,trades,0,39385
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101164.8, ""volume"": 0.001, ""timestamp"": ""2024-12-06T17:52:08.713862Z"", ""timestamp_ms"": 1733503928713}",1733507529154,trades,0,39386
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.85, ""volume"": 0.16632164, ""timestamp"": ""2024-12-06T17:52:09.938455Z"", ""timestamp_ms"": 1733503929938}",1733507530446,trades,0,39387
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.8, ""volume"": 0.0020111, ""timestamp"": ""2024-12-06T17:52:12.331325Z"", ""timestamp_ms"": 1733503932331}",1733507533042,trades,0,39388
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.7, ""volume"": 0.0020111, ""timestamp"": ""2024-12-06T17:52:12.331325Z"", ""timestamp_ms"": 1733503932331}",1733507533043,trades,0,39389
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.6, ""volume"": 0.0020111, ""timestamp"": ""2024-12-06T17:52:12.331325Z"", ""timestamp_ms"": 1733503932331}",1733507533043,trades,0,39390
